District,District Code,Subject,M+E #,M+E %,E #,E %,M #,M %,PM #,PM %,NM #,NM %,No. of Students Included,Part. Rate %,Avg. Scaled Score,SGP,Included In SGP,Rank,County,Per capita income,Median household income,Median family income,Households,Population
Beverly,300000,MATH,942,45,141,7,801,38,838,40,315,15,2095,99,496,47,1630,177,Essex,46645,91592,119420,24400,42448
Belmont,260000,MATH,1593,76,610,29,983,47,408,19,94,4,2095,99,516,56,1587,21,Middlesex,81383,151502,185551,10393,27056
Milton,1890000,MATH,1279,62,241,12,1038,50,650,31,150,7,2079,100,506,53,1634,45,Norfolk,66359,115807,157660,8781,28382
Pittsfield,2360000,MATH,504,24,71,3,433,21,919,44,655,32,2078,99,484,44,1570,288,Berkshire,37356,59522,77469,19290,43890
Westfield,3250000,MATH,647,31,49,2,598,29,985,48,437,21,2069,99,489,46,1609,294,Hampden,36635,73692,92373,15292,40922
Franklin,1010000,MATH,1178,57,241,12,937,45,712,34,178,9,2068,99,504,52,1661,95,Norfolk,55509,127608,160000,12118,33057
Winchester,3440000,MATH,1448,70,397,19,1051,51,522,25,94,5,2064,100,511,56,1604,10,Middlesex,90356,184844,242143,8149,22875
North Andover,2110000,MATH,1207,59,228,11,979,48,659,32,191,9,2057,99,503,52,1625,34,Essex,71327,94375,111667,18628,31468
Somerville,2740000,MATH,671,33,135,7,536,27,749,37,599,30,2019,99,488,50,1465,296,Middlesex,36257,61811,84722,39745,79816
Barnstable,200000,MATH,581,29,68,3,513,25,963,48,474,23,2018,98,488,46,1440,173,Barnstable,46996,82816,105750,30765,48556
Hopkinton,1390000,MATH,1511,78,533,28,978,51,347,18,75,4,1933,100,516,59,1533,16,Middlesex,85400,179192,221683,6556,18501
Woburn,3470000,MATH,688,36,84,4,604,32,863,45,357,19,1908,99,492,45,1441,266,Middlesex,39692,68274,85333,15165,40967
Milford,1850000,MATH,483,25,33,2,450,24,948,50,471,25,1902,100,486,46,1397,247,Worcester,41540,89332,103785,11446,30134
Wellesley,3170000,MATH,1420,77,423,23,997,54,343,19,80,4,1843,99,514,59,1447,3,Norfolk,97262,226250,250000,8668,29365
Reading,2460000,MATH,1011,55,199,11,812,44,670,36,158,9,1839,100,502,49,1454,39,Middlesex,68526,101487,121963,8926,25483
North Attleborough,2120000,MATH,834,46,102,6,732,40,800,44,188,10,1822,99,497,44,1455,160,Bristol,47877,97967,129573,12273,30557
Dracut,790000,MATH,648,36,74,4,574,32,847,47,293,16,1788,99,492,51,1379,239,Middlesex,42008,95229,113068,12370,32356
Melrose,1780000,MATH,1035,59,224,13,811,46,570,32,162,9,1767,98,505,50,1389,213,Middlesex,44361,100337,115069,15621,29567
Medford,1760000,MATH,630,36,88,5,542,31,800,46,319,18,1749,99,492,50,1298,269,Middlesex,39485,94298,125828,28321,60708
Westborough,3210000,MATH,1147,66,345,20,802,46,446,26,133,8,1726,99,509,57,1327,179,Worcester,46536,76859,97765,7980,21213
West Springfield,3320000,MATH,534,31,55,3,479,28,855,50,332,19,1721,99,490,47,1303,278,Hampden,38318,60023,83912,12734,28814
Hingham,1310000,MATH,1218,71,277,16,941,55,445,26,49,3,1712,99,511,52,1363,9,Plymouth,91263,154300,222016,9252,24061
Sudbury,2880000,MATH,1224,72,329,19,895,53,389,23,90,5,1703,99,511,54,1331,15,Middlesex,86008,217847,228426,6208,18912
Dudley-Charlton Reg,6580000,MATH,659,39,61,4,598,35,783,46,257,15,1699,100,493,46,1344,,,,,,,
Salem,2580000,MATH,359,21,37,2,322,19,758,45,578,34,1695,99,482,46,1215,83,Essex,58437,108896,119739,10326,44819
Walpole,3070000,MATH,1024,62,236,14,788,47,536,32,103,6,1663,99,507,50,1309,54,Norfolk,57066,138821,170250,9156,26413
Sharon,2660000,MATH,1145,69,360,22,785,47,426,26,88,5,1659,99,511,51,1311,35,Norfolk,71247,157928,173170,6395,18477
Burlington,480000,MATH,912,56,169,10,743,45,563,34,163,10,1638,99,502,52,1272,105,Middlesex,53430,123630,142403,10628,23311
Marshfield,1710000,MATH,945,58,154,9,791,48,582,36,107,7,1634,99,503,49,1287,41,Plymouth,67267,122914,159380,10243,25793
Whitman-Hanson,7800000,MATH,677,42,87,5,590,36,720,44,226,14,1623,99,495,48,1285,,,,,,,
Dartmouth,720000,MATH,821,52,97,6,724,46,644,41,119,8,1584,100,501,52,1243,250,Bristol,41307,95404,114492,11863,34054
Wakefield,3050000,MATH,805,51,137,9,668,43,618,39,147,9,1570,99,500,51,1263,118,Middlesex,51645,78884,106466,10849,27041
Easton,880000,MATH,927,59,152,10,775,49,536,34,106,7,1569,99,504,55,1255,102,Bristol,53994,112116,148924,8993,24962
Norwood,2200000,MATH,628,40,98,6,530,34,663,43,267,17,1558,100,495,49,1191,57,Norfolk,54645,96414,120146,13002,31256
Stoughton,2850000,MATH,561,36,72,5,489,31,737,47,257,17,1555,100,493,49,1209,212,Norfolk,44380,94823,114453,11277,29028
Danvers,710000,MATH,646,42,69,4,577,37,669,43,231,15,1546,99,495,45,1210,139,Essex,49862,105654,122147,10964,27966
Tewksbury,2950000,MATH,660,43,61,4,599,39,667,43,213,14,1540,100,495,47,1196,107,Middlesex,50133,111696,131781,12025,31153
Mansfield,1670000,MATH,875,58,146,10,729,48,522,35,110,7,1507,99,504,51,1208,55,Bristol,55451,122274,143500,8707,23768
Agawam,50000,MATH,518,35,50,3,468,31,757,51,222,15,1497,98,492,44,1153,230,Hampden,42754,78619,104743,11785,28715
Canton,500000,MATH,845,58,165,11,680,46,490,33,134,9,1469,99,504,56,1156,44,Norfolk,66512,83992,118750,10002,24122
Grafton,1100000,MATH,769,53,164,11,605,42,518,36,152,11,1439,99,502,54,1131,112,Worcester,52350,107237,134459,7468,19540
North Middlesex,7350000,MATH,511,36,53,4,458,32,726,51,188,13,1425,99,493,44,1108,,,,,,,
Falmouth,960000,MATH,689,49,117,8,572,40,557,39,171,12,1417,99,498,48,1100,84,Middlesex,57906,110372,142171,18943,32526
Nashoba,7250000,MATH,833,59,133,9,700,49,496,35,86,6,1415,99,504,50,1164,,,,,,,
Middleborough,1820000,MATH,525,38,56,4,469,34,673,48,201,14,1399,99,493,44,1098,219,Plymouth,43754,81809,92684,9727,24219
Freetown-Lakeville,6650000,MATH,670,49,82,6,588,43,563,42,123,9,1356,99,499,47,1064,,,,,,,
Wilmington,3420000,MATH,724,54,113,8,611,45,511,38,117,9,1352,99,501,53,1072,106,Middlesex,53283,117909,143614,13808,36271
Dennis-Yarmouth,6450000,MATH,377,28,33,2,344,26,668,50,304,23,1349,99,488,38,985,,,,,,,
Concord,670000,MATH,901,68,207,16,694,53,342,26,73,6,1316,99,509,51,1027,12,Middlesex,87603,70000,118750,6722,18424
Westwood,3350000,MATH,939,72,248,19,691,53,303,23,69,5,1311,99,511,55,1090,28,Norfolk,75396,171071,204657,5424,16066
