District,District Code,Subject,M+E #,M+E %,E #,E %,M #,M %,PM #,PM %,NM #,NM %,No. of Students Included,Part. Rate %,Avg. Scaled Score,SGP,Included In SGP
Wellesley,3170000,MATH,1420,77,423,23,997,54,343,19,80,4,1843,99,514,59,1447
Reading,2460000,MATH,1011,55,199,11,812,44,670,36,158,9,1839,100,502,49,1454
North Attleborough,2120000,MATH,834,46,102,6,732,40,800,44,188,10,1822,99,497,44,1455
Dracut,790000,MATH,648,36,74,4,574,32,847,47,293,16,1788,99,492,51,1379
Melrose,1780000,MATH,1035,59,224,13,811,46,570,32,162,9,1767,98,505,50,1389
Medford,1760000,MATH,630,36,88,5,542,31,800,46,319,18,1749,99,492,50,1298
Westborough,3210000,MATH,1147,66,345,20,802,46,446,26,133,8,1726,99,509,57,1327
West Springfield,3320000,MATH,534,31,55,3,479,28,855,50,332,19,1721,99,490,47,1303
Hingham,1310000,MATH,1218,71,277,16,941,55,445,26,49,3,1712,99,511,52,1363
Sudbury,2880000,MATH,1224,72,329,19,895,53,389,23,90,5,1703,99,511,54,1331
Dudley-Charlton Reg,6580000,MATH,659,39,61,4,598,35,783,46,257,15,1699,100,493,46,1344
Salem,2580000,MATH,359,21,37,2,322,19,758,45,578,34,1695,99,482,46,1215
Walpole,3070000,MATH,1024,62,236,14,788,47,536,32,103,6,1663,99,507,50,1309
Sharon,2660000,MATH,1145,69,360,22,785,47,426,26,88,5,1659,99,511,51,1311
Burlington,480000,MATH,912,56,169,10,743,45,563,34,163,10,1638,99,502,52,1272
Marshfield,1710000,MATH,945,58,154,9,791,48,582,36,107,7,1634,99,503,49,1287
Whitman-Hanson,7800000,MATH,677,42,87,5,590,36,720,44,226,14,1623,99,495,48,1285
Dartmouth,720000,MATH,821,52,97,6,724,46,644,41,119,8,1584,100,501,52,1243
Wakefield,3050000,MATH,805,51,137,9,668,43,618,39,147,9,1570,99,500,51,1263
Easton,880000,MATH,927,59,152,10,775,49,536,34,106,7,1569,99,504,55,1255
Norwood,2200000,MATH,628,40,98,6,530,34,663,43,267,17,1558,100,495,49,1191
Stoughton,2850000,MATH,561,36,72,5,489,31,737,47,257,17,1555,100,493,49,1209
Danvers,710000,MATH,646,42,69,4,577,37,669,43,231,15,1546,99,495,45,1210
Tewksbury,2950000,MATH,660,43,61,4,599,39,667,43,213,14,1540,100,495,47,1196
Mansfield,1670000,MATH,875,58,146,10,729,48,522,35,110,7,1507,99,504,51,1208
Agawam,50000,MATH,518,35,50,3,468,31,757,51,222,15,1497,98,492,44,1153
Canton,500000,MATH,845,58,165,11,680,46,490,33,134,9,1469,99,504,56,1156
Grafton,1100000,MATH,769,53,164,11,605,42,518,36,152,11,1439,99,502,54,1131
North Middlesex,7350000,MATH,511,36,53,4,458,32,726,51,188,13,1425,99,493,44,1108
Falmouth,960000,MATH,689,49,117,8,572,40,557,39,171,12,1417,99,498,48,1100
Nashoba,7250000,MATH,833,59,133,9,700,49,496,35,86,6,1415,99,504,50,1164
Middleborough,1820000,MATH,525,38,56,4,469,34,673,48,201,14,1399,99,493,44,1098
Freetown-Lakeville,6650000,MATH,670,49,82,6,588,43,563,42,123,9,1356,99,499,47,1064
Wilmington,3420000,MATH,724,54,113,8,611,45,511,38,117,9,1352,99,501,53,1072
Dennis-Yarmouth,6450000,MATH,377,28,33,2,344,26,668,50,304,23,1349,99,488,38,985
Concord,670000,MATH,901,68,207,16,694,53,342,26,73,6,1316,99,509,51,1027
Westwood,3350000,MATH,939,72,248,19,691,53,303,23,69,5,1311,99,511,55,1090
Ashland,140000,MATH,754,58,216,17,538,41,422,32,132,10,1308,99,505,60,1046
Scituate,2640000,MATH,777,61,129,10,648,51,416,33,74,6,1267,99,505,48,998
Gloucester,1070000,MATH,425,34,51,4,374,30,609,48,229,18,1263,99,491,47,975
Wayland,3150000,MATH,957,76,313,25,644,51,267,21,38,3,1262,99,515,58,1026
Holliston,1360000,MATH,775,62,179,14,596,47,386,31,99,8,1260,99,506,58,995
Hanover,1220000,MATH,720,58,122,10,598,48,442,36,81,7,1243,99,504,54,990
Hampden-Wilbraham,6800000,MATH,538,43,69,6,469,38,562,45,141,11,1241,99,497,50,980
Randolph,2440000,MATH,368,30,52,4,316,25,548,44,325,26,1241,99,488,52,884
Longmeadow,1590000,MATH,798,65,172,14,626,51,349,28,81,7,1228,99,507,59,993
Duxbury,820000,MATH,732,60,120,10,612,50,429,35,55,5,1216,100,504,52,979
Dighton-Rehoboth,6500000,MATH,517,43,42,3,475,39,580,48,119,10,1216,99,496,52,966
Auburn,170000,MATH,569,47,86,7,483,40,512,43,119,10,1200,100,499,53,965
Saugus,2620000,MATH,370,31,39,3,331,28,609,51,210,18,1189,99,490,44,896
Bedford,230000,MATH,794,67,245,21,549,47,312,27,71,6,1177,99,511,51,952
Medfield,1750000,MATH,828,71,163,14,665,57,298,25,44,4,1170,99,510,50,937
Marblehead,1680000,MATH,688,59,104,9,584,50,381,33,95,8,1164,99,503,59,908
East Longmeadow,870000,MATH,494,43,56,5,438,38,527,46,133,12,1154,99,496,48,924
Brooke Charter School (District),4280000,MATH,684,61,136,12,548,49,377,33,67,6,1128,100,505,60,882
Pembroke,2310000,MATH,651,58,108,10,543,48,408,36,63,6,1122,99,504,55,926
Hudson,1410000,MATH,338,30,24,2,314,28,564,51,214,19,1116,99,489,46,860
Somerset,2730000,MATH,534,48,46,4,488,44,456,41,122,11,1112,100,498,59,901
Watertown,3140000,MATH,490,44,83,7,407,37,429,39,191,17,1110,99,496,52,838
Dedham,730000,MATH,524,47,77,7,447,40,462,42,121,11,1107,99,498,53,831
North Reading,2170000,MATH,759,69,157,14,602,55,294,27,41,4,1094,100,510,55,856
Foxborough,990000,MATH,620,57,108,10,512,47,383,35,90,8,1093,99,503,48,858
Northampton,2100000,MATH,413,38,56,5,357,33,472,43,206,19,1091,96,492,49,816
Northborough,2130000,MATH,608,56,126,12,482,44,393,36,89,8,1090,99,503,50,843
Groton-Dunstable,6730000,MATH,644,60,116,11,528,49,372,35,60,6,1076,99,505,45,866
Ashburnham-Westminster,6100000,MATH,444,41,42,4,402,37,536,50,95,9,1075,100,497,48,892
Lynnfield,1640000,MATH,683,64,126,12,557,52,335,31,48,5,1066,100,507,51,865
Rockland,2510000,MATH,440,42,59,6,381,36,439,42,174,17,1053,100,495,51,819
Norton,2180000,MATH,372,35,29,3,343,33,539,51,139,13,1050,98,493,43,835
Sandwich,2610000,MATH,571,55,79,8,492,47,370,36,98,9,1039,100,501,54,849
Quabbin,7530000,MATH,392,38,44,4,348,34,480,46,161,16,1033,100,494,48,796
Pentucket,7450000,MATH,516,50,79,8,437,43,419,41,90,9,1025,99,500,54,794
Norwell,2190000,MATH,680,66,132,13,548,54,299,29,45,4,1024,100,508,53,808
Stoneham,2840000,MATH,496,49,76,7,420,41,406,40,113,11,1015,100,498,49,802
Gardner,1030000,MATH,234,23,20,2,214,21,456,45,318,32,1008,99,483,47,769
Medway,1770000,MATH,575,58,104,10,471,47,341,34,83,8,999,100,503,46,777
Ludlow,1610000,MATH,318,32,27,3,291,29,495,50,185,19,998,99,490,48,783
Seekonk,2650000,MATH,506,51,69,7,437,44,392,40,91,9,989,100,500,49,779
Abington,10000,MATH,418,43,57,6,361,37,437,45,117,12,972,98,497,46,753
Swansea,2920000,MATH,438,45,57,6,381,39,422,43,111,11,971,99,497,50,783
Triton,7730000,MATH,435,45,58,6,377,39,426,44,106,11,967,99,498,59,751
Belchertown,240000,MATH,349,36,23,2,326,34,487,50,130,13,966,98,493,48,770
Mendon-Upton,7100000,MATH,441,46,50,5,391,41,440,46,77,8,958,100,498,54,766
East Bridgewater,830000,MATH,384,40,40,4,344,36,480,50,91,10,955,99,496,45,765
Wareham,3100000,MATH,221,24,22,2,199,21,521,56,190,20,932,99,488,55,687
Newburyport,2040000,MATH,436,47,43,5,393,43,392,43,94,10,922,99,498,49,705
Bellingham,250000,MATH,289,32,31,3,258,29,448,50,160,18,897,99,491,44,705
Webster,3160000,MATH,168,19,11,1,157,18,452,51,270,30,890,99,482,45,648
Swampscott,2910000,MATH,412,46,69,8,343,39,390,44,87,10,889,99,499,50,703
Northbridge,2140000,MATH,305,35,31,4,274,31,414,48,152,17,871,98,491,49,680
Weston,3300000,MATH,632,74,219,26,413,48,201,23,24,3,857,99,515,49,663
Winthrop,3460000,MATH,344,41,38,4,306,36,377,45,124,15,845,100,495,59,634
Monomoy Regional School District,7120000,MATH,403,48,54,6,349,41,348,41,93,11,844,98,498,49,655
Clinton,640000,MATH,247,29,25,3,222,26,401,48,194,23,842,99,488,52,625
Southbridge,2770000,MATH,91,11,6,1,85,10,374,45,371,44,836,99,474,51,600
Amesbury,70000,MATH,369,45,49,6,320,39,323,39,133,16,825,99,496,52,630
Fairhaven,940000,MATH,413,50,47,6,366,45,329,40,76,9,818,99,499,50,649
Bourne,360000,MATH,224,28,13,2,211,26,448,55,140,17,812,99,488,45,631
Springfield International Charter (District),4410000,MATH,76,9,3,0,73,9,379,47,349,43,804,100,475,41,655
Southborough,2760000,MATH,608,76,219,27,389,49,167,21,24,3,799,99,516,48,619
Hamilton-Wenham,6750000,MATH,444,57,60,8,384,49,281,36,57,7,782,100,503,52,611
Mystic Valley Regional Charter (District),4700000,MATH,448,58,110,14,338,44,301,39,23,3,772,100,506,48,598
Littleton,1580000,MATH,413,54,74,10,339,44,298,39,60,8,771,99,502,54,618
Ayer Shirley School District,6160000,MATH,314,41,28,4,286,37,350,46,103,13,767,100,494,47,591
South Hadley,2780000,MATH,264,35,29,4,235,31,366,48,128,17,758,99,492,51,612
Uxbridge,3040000,MATH,325,43,25,3,300,40,329,44,100,13,754,99,495,48,610
Tyngsborough,3010000,MATH,281,37,28,4,253,34,374,50,95,13,750,99,493,48,615
Westport,3310000,MATH,304,41,30,4,274,37,348,47,92,12,744,100,495,50,596
KIPP Academy Lynn Charter (District),4290000,MATH,287,39,26,3,261,35,372,50,84,11,743,100,494,58,612
Lunenburg,1620000,MATH,321,44,44,6,277,38,336,46,80,11,737,99,496,57,595
Foxborough Regional Charter (District),4460000,MATH,191,26,18,2,173,24,388,53,157,21,736,99,487,48,560
Community Day Charter Public School (District),4400000,MATH,348,48,41,6,307,42,286,39,96,13,730,100,497,50,603
Narragansett,7200000,MATH,238,33,24,3,214,29,352,48,140,19,730,100,490,53,574
Carver,520000,MATH,225,31,15,2,210,29,398,55,102,14,725,99,491,50,549
Millbury,1860000,MATH,300,41,27,4,273,38,315,44,108,15,723,99,494,44,571
Alma del Mar Charter School (District),4090000,MATH,199,28,14,2,185,26,372,52,151,21,722,99,488,50,591
Oxford,2260000,MATH,209,29,22,3,187,26,370,51,140,19,719,98,490,45,579
Ipswich,1440000,MATH,372,52,55,8,317,44,298,42,46,6,716,99,502,54,575
Blackstone-Millville,6220000,MATH,282,39,23,3,259,36,341,48,91,13,714,99,494,43,566
Abby Kelley Foster Charter Public (District),4450000,MATH,223,31,12,2,211,30,367,52,119,17,709,100,489,55,573
Athol-Royalston,6150000,MATH,153,22,10,1,143,20,322,46,223,32,698,97,484,42,545
Roxbury Preparatory Charter (District),4840000,MATH,214,31,14,2,200,29,315,45,166,24,695,99,487,62,609
Nantucket,1970000,MATH,173,25,9,1,164,24,363,52,157,23,693,100,486,50,524
Excel Academy Charter (District),4100000,MATH,260,38,26,4,234,34,299,43,131,19,690,100,492,59,661
TEC Connections Academy Commonwealth Virtual School District,39020000,MATH,175,26,24,4,151,22,301,44,208,30,684,67,484,39,445
Central Berkshire,6350000,MATH,250,37,33,5,217,32,318,47,115,17,683,99,493,47,526
Easthampton,860000,MATH,241,36,28,4,213,32,321,47,114,17,676,98,492,48,528
Holbrook,1330000,MATH,248,37,26,4,222,33,290,44,128,19,666,100,492,53,519
King Philip,6900000,MATH,335,50,34,5,301,45,261,39,69,10,665,98,499,38,635
Atlantis Charter (District),4910000,MATH,140,21,6,1,134,20,370,56,146,22,656,100,484,39,537
Spencer-E Brookfield,7670000,MATH,151,23,6,1,145,22,349,54,152,23,652,100,485,48,476
Collegiate Charter School of Lowell (District),35030000,MATH,123,19,14,2,109,17,328,51,197,30,648,100,482,31,519
Mashpee,1720000,MATH,225,36,13,2,212,33,313,49,95,15,633,99,492,47,500
Greenfield,1140000,MATH,109,17,10,2,99,16,311,49,213,34,633,97,480,50,445
West Bridgewater,3230000,MATH,244,39,23,4,221,35,317,50,69,11,630,99,495,51,507
Southwick-Tolland-Granville Regional School District,7660000,MATH,244,39,31,5,213,34,301,48,77,12,622,100,494,46,484
Acushnet,30000,MATH,318,51,60,10,258,42,253,41,49,8,620,99,502,46,503
Lincoln,1570000,MATH,315,51,67,11,248,40,241,39,58,9,614,100,501,51,418
Sutton,2900000,MATH,280,46,32,5,248,41,258,43,65,11,603,99,498,55,489
Cohasset,650000,MATH,423,70,74,12,349,58,153,25,27,4,603,100,508,66,480
Leicester,1510000,MATH,195,32,10,2,185,31,281,47,127,21,603,100,490,46,460
Georgetown,1050000,MATH,275,46,30,5,245,41,266,44,58,10,599,100,498,51,472
Kingston,1450000,MATH,286,48,37,6,249,42,238,40,74,12,598,99,498,45,410
Mount Greylock,7150000,MATH,316,54,55,9,261,45,212,36,56,10,584,100,502,45,464
Masconomet,7050000,MATH,316,55,59,10,257,45,219,38,39,7,574,99,503,46,544
Benjamin Franklin Classical Charter Public (District),4470000,MATH,331,58,73,13,258,45,205,36,36,6,572,99,504,49,464
Douglas,770000,MATH,204,36,21,4,183,32,291,51,76,13,571,98,493,57,442
Winchendon,3430000,MATH,107,19,8,1,99,17,318,56,141,25,566,98,484,50,422
Amherst,80000,MATH,241,43,52,9,189,34,193,34,129,23,563,96,494,57,364
Berkley,270000,MATH,237,43,19,3,218,39,261,47,56,10,554,100,496,47,445
Millis,1870000,MATH,270,49,27,5,243,45,233,43,43,8,546,98,499,55,434
Maynard,1740000,MATH,205,38,30,5,175,32,281,51,60,11,546,98,495,60,428
Tantasqua,7700000,MATH,297,55,53,10,244,45,201,37,46,8,544,99,501,46,523
Match Charter Public School (District),4690000,MATH,105,19,2,0,103,19,292,54,147,27,544,100,483,60,429
Manchester Essex Regional,6980000,MATH,303,56,68,13,235,44,197,36,40,7,540,99,504,50,433
Ware,3090000,MATH,138,26,2,0,136,25,273,51,129,24,540,100,485,51,416
Quaboag Regional,7780000,MATH,153,29,18,3,135,25,288,54,93,17,534,99,490,42,412
Norfolk,2080000,MATH,314,60,53,10,261,50,182,35,29,6,525,100,506,51,387
Silver Lake,7600000,MATH,246,47,22,4,224,43,217,41,60,11,523,99,497,52,507
Palmer,2270000,MATH,145,28,14,3,131,25,230,44,142,27,517,98,487,49,425
North Adams,2090000,MATH,87,17,8,2,79,15,258,50,169,33,514,99,481,40,378
Nauset,6600000,MATH,180,35,15,3,165,32,267,52,66,13,513,98,493,38,468
South Shore Charter Public (District),4880000,MATH,176,36,18,4,158,32,245,50,72,15,493,100,492,54,385
Wrentham,3500000,MATH,295,61,54,11,241,49,166,34,26,5,487,100,504,55,363
Lowell Community Charter Public (District),4560000,MATH,161,33,26,5,135,28,248,51,77,16,486,100,491,50,384
Berlin-Boylston,6200000,MATH,292,60,49,10,243,50,165,34,29,6,486,100,505,54,380
Sturbridge,2870000,MATH,245,51,35,7,210,43,190,39,50,10,485,100,500,60,339
Hopedale,1380000,MATH,231,48,31,6,200,41,209,43,43,9,483,99,499,54,388
Hoosac Valley Regional,6030000,MATH,83,17,3,1,80,17,237,50,155,33,475,100,480,45,360
Holyoke Community Charter (District),4530000,MATH,60,13,1,0,59,13,285,61,125,27,470,99,481,46,351
Dover-Sherborn,6550000,MATH,326,70,100,21,226,48,126,27,17,4,469,97,512,46,440
Prospect Hill Academy Charter (District),4870000,MATH,83,18,6,1,77,16,252,54,134,29,469,99,481,36,374
Harvard,1250000,MATH,334,72,70,15,264,57,106,23,25,5,465,98,510,54,368
Berkshire Hills,6180000,MATH,170,37,15,3,155,33,217,47,76,16,463,99,493,46,355
Lawrence Family Development Charter (District),4540000,MATH,94,21,7,2,87,19,274,60,89,19,457,100,486,42,372
Gill-Montague,6740000,MATH,101,23,4,1,97,22,225,52,109,25,435,99,485,52,337
Learning First Charter Public School (District),4860000,MATH,51,12,7,2,44,10,220,52,154,36,425,98,478,51,340
Advanced Math and Science Academy Charter (District),4300000,MATH,239,57,52,12,187,45,159,38,21,5,419,99,504,54,399
Old Rochester,7400000,MATH,198,47,21,5,177,42,189,45,30,7,417,99,498,35,403
Monson,1910000,MATH,81,20,4,1,77,19,222,54,109,26,412,99,485,42,313
Boston Renaissance Charter Public (District),4810000,MATH,94,23,8,2,86,21,182,44,134,33,410,99,481,45,279
West Boylston,3220000,MATH,216,53,38,9,178,44,164,41,24,6,404,100,503,56,317
Mohawk Trail,7170000,MATH,106,27,7,2,99,25,214,54,77,19,397,95,488,41,313
Carlisle,510000,MATH,291,74,106,27,185,47,83,21,20,5,394,99,514,59,318
Innovation Academy Charter (District),4350000,MATH,135,35,10,3,125,32,204,52,52,13,391,98,493,39,365
Veritas Preparatory Charter School (District),4980000,MATH,105,27,10,3,95,25,208,54,74,19,387,100,489,53,369
Boxford,380000,MATH,237,61,28,7,209,54,124,32,26,7,387,100,503,56,271
Gateway,6720000,MATH,109,29,13,3,96,25,206,54,65,17,380,99,490,39,294
Pioneer Charter School of Science (District),4940000,MATH,232,61,57,15,175,46,118,31,28,7,378,100,506,58,308
Middleton,1840000,MATH,206,55,39,10,167,44,149,40,22,6,377,99,503,56,272
Boston Collegiate Charter (District),4490000,MATH,175,48,30,8,145,40,172,47,20,5,367,99,499,59,341
KIPP Academy Boston Charter School (District),4630000,MATH,72,20,6,2,66,18,193,53,102,28,367,99,482,57,278
Greater Commonwealth Virtual District,39010000,MATH,46,13,3,1,43,12,186,52,125,35,357,76,479,37,187
Rising Tide Charter Public (District),4830000,MATH,173,49,19,5,154,43,150,42,32,9,355,98,499,50,340
Halifax,1180000,MATH,172,49,15,4,157,44,156,44,25,7,353,100,499,48,282
UP Academy Charter School of Dorchester (District),35050000,MATH,23,7,1,0,22,6,193,55,136,39,352,100,475,50,282
Lenox,1520000,MATH,192,55,40,11,152,43,141,40,18,5,351,99,504,48,272
Plainville,2380000,MATH,170,48,30,9,140,40,146,42,35,10,351,99,499,55,250
Rockport,2520000,MATH,142,42,18,5,124,36,169,49,31,9,342,99,496,58,294
Topsfield,2980000,MATH,210,61,29,8,181,53,116,34,16,5,342,99,504,58,250
Avon,180000,MATH,108,32,13,4,95,28,156,46,77,23,341,99,489,48,279
Amherst-Pelham,6050000,MATH,148,44,30,9,118,35,122,36,65,19,335,89,496,47,280
Global Learning Charter Public (District),4960000,MATH,67,20,2,1,65,19,206,62,61,18,334,99,485,43,315
Neighborhood House Charter (District),4440000,MATH,76,23,4,1,72,22,166,50,91,27,333,99,484,44,262
Granby,1110000,MATH,86,26,9,3,77,23,174,53,68,21,328,99,487,53,257
Hull,1420000,MATH,145,44,20,6,125,38,147,45,34,10,326,98,497,36,256
Springfield Preparatory Charter School (District),35100000,MATH,156,49,17,5,139,43,141,44,23,7,320,100,499,58,250
Pioneer Valley,7500000,MATH,84,26,3,1,81,25,161,51,73,23,318,99,486,47,260
New Heights Charter School of Brockton (District),35130000,MATH,42,13,0,0,42,13,174,55,100,32,316,99,480,50,292
Christa McAuliffe Charter School (District),4180000,MATH,65,21,5,2,60,19,169,54,81,26,315,98,484,42,291
Lee,1500000,MATH,104,34,13,4,91,29,175,56,31,10,310,100,493,56,242
Argosy Collegiate Charter School (District),35090000,MATH,28,9,1,0,27,9,183,61,90,30,301,100,479,43,275
Pioneer Valley Chinese Immersion Charter (District),4970000,MATH,175,60,37,13,138,47,95,32,24,8,294,100,505,68,243
Rochester,2500000,MATH,140,48,13,4,127,44,131,45,20,7,291,99,499,54,216
Boston Preparatory Charter Public (District),4160000,MATH,38,13,1,0,37,13,151,52,100,35,289,100,479,41,257
Orange,2230000,MATH,43,15,2,1,41,14,136,48,104,37,283,97,479,51,187
Edgartown,890000,MATH,79,28,7,3,72,26,125,45,75,27,279,100,486,47,198
Oak Bluffs,2210000,MATH,123,45,19,7,104,38,112,41,40,15,275,100,496,57,203
Up-Island Regional,7740000,MATH,129,48,18,7,111,42,124,46,14,5,267,100,500,54,214
Libertas Academy Charter School (District),35140000,MATH,82,31,7,3,75,28,132,50,52,20,266,99,489,67,225
Dover,780000,MATH,186,72,45,17,141,54,69,27,5,2,260,100,512,46,155
Hampden Charter School of Science East (District),4990000,MATH,80,32,6,2,74,29,120,47,53,21,253,99,489,43,235
Southampton,2750000,MATH,133,53,14,6,119,48,101,40,16,6,250,100,501,63,183
Hampshire,6830000,MATH,91,37,7,3,84,34,134,54,24,10,249,98,495,47,230
Cape Cod Lighthouse Charter (District),4320000,MATH,121,49,17,7,104,42,100,41,25,10,246,99,499,42,234
Mattapoisett,1730000,MATH,143,60,24,10,119,50,83,35,14,6,240,100,505,60,184
Southern Berkshire,7650000,MATH,92,38,14,6,78,33,104,43,44,18,240,100,493,56,182
Conservatory Lab Charter (District),4390000,MATH,70,29,3,1,67,28,132,55,37,15,239,100,488,61,180
Old Sturbridge Academy Charter Public School (District),35150000,MATH,79,34,8,3,71,30,123,53,32,14,234,100,492,49,189
Marion,1690000,MATH,124,53,24,10,100,43,86,37,23,10,233,99,502,52,165
Academy Of the Pacific Rim Charter Public (District),4120000,MATH,28,13,1,0,27,12,103,47,88,40,219,98,477,47,199
Frontier,6700000,MATH,78,36,8,4,70,32,111,51,29,13,218,100,494,51,204
Marblehead Community Charter Public (District),4640000,MATH,76,35,7,3,69,32,116,54,23,11,215,100,493,42,198
Salem Academy Charter (District),4850000,MATH,64,30,5,2,59,28,104,49,44,21,212,100,488,48,206
North Brookfield,2150000,MATH,46,22,2,1,44,21,120,57,44,21,210,98,485,46,140
Sherborn,2690000,MATH,141,69,28,14,113,55,58,28,5,2,204,99,510,65,120
UP Academy Charter School of Boston (District),4800000,MATH,27,14,3,2,24,12,79,40,94,47,200,99,477,51,184
Hadley,1170000,MATH,75,38,9,5,66,33,97,49,28,14,200,100,495,46,163
